"采购建议","分类","数量","推荐型号/规格","淘宝搜索关键词","参考价下限(元)","参考价上限(元)","说明","初始图片对照"
"必买","螺旋桨","1","30~35mm 三叶桨","船模 三叶桨 30mm 35mm M4","5","10","先从较小桨径做起","是：初始图片未覆盖，仍需额外挑选"
"必买","方向舵总成","1","小型船模方向舵总成","船模 方向舵 舵杆 总成","10","20","若板件不带则需要单买","是：初始图片未覆盖，仍需额外挑选"
"必买","方向舵机","1","SG92R","SG92R 舵机","12","20","主方向舵建议别降到 SG90","是：初始图片有相近舵机，但当前推荐 SG92R"
"必买","云台支架","1","二自由度舵机云台支架","二自由度 舵机 云台 支架 SG90","3","8","甲板水炮转台","否：初始图片已有二自由度云台支架"
"必买","水炮水平舵机","1","SG92R","SG92R 舵机","12","20","水平轴负载比俯仰轴更大","是：初始图片未见 SG92R，仍需额外挑选"
"必买","水炮俯仰舵机","1","SG90","SG90 9g 舵机","5","10","小负载够用","否：初始图片已有 SG90"
"必买","水炮喷口","1","75mm 金属喷水嘴","75mm 吸水炮 金属 水炮","8","15","比 95mm 更适合小船","否：初始图片已有对应商品页，按 75mm 选即可"
"必买","水炮动力","1","S05 水枪脉冲齿轮箱","S05 水枪脉冲齿轮箱 3.7V","6","12","低成本方案, 与原清单一致","否：初始图片已有 S05 水枪脉冲齿轮箱"
"必买","水炮驱动","1","MOSFET 开关模块","MOSFET 开关模块 5V 10A","3","6","主控开关水炮电机","是：初始图片未覆盖，仍需额外挑选"
"必买","主电池","1","2S 锂电 7.4V 1500~2200mAh","2S 锂电 7.4V 1500mah 2200mah XT30","30","50","控制体积、重量和预算","是：初始图片里是单节 18650，不是当前推荐件"
"必买","5V 降压","1","5V 3A UBEC","UBEC 5V 3A","10","15","给 STM32、接收无线模块和舵机供电","是：初始图片未覆盖，仍需额外挑选"
"必买","充电器","1","2S 锂电平衡充","B3 2S 3S 平衡充","15","25","预算方案优先简单平衡充","是：初始图片未覆盖，仍需额外挑选"
"必买","电源开关","1","防水电源开关","船模 防水 电源开关","5","10","船体外部断电更方便","是：初始图片未覆盖，仍需额外挑选"
"必买","保险","1","5A~10A 保险丝座","小型 保险丝座 5A 10A","3","6","防短路, 很便宜但有价值","是：初始图片未覆盖，仍需额外挑选"
"必买","线材","1 批","18AWG/22AWG 硅胶线","18AWG 22AWG 硅胶线 红黑","10","18","主电用 18AWG, 小负载用 22AWG","是：初始图片未覆盖，仍需额外挑选"
"必买","插头","1 批","XT30 + JST-PH2.0 + 杜邦头","XT30 插头 JST PH2.0 端子","8","15","统一接口, 后续维护方便","是：初始图片只有 PH2.0 线材信息，当前仍需统一 XT30/JST 方案"
"必买","硅胶水管","1","4x6mm 或 3x5mm","硅胶水管 3x5 4x6","3","8","水炮供水","是：初始图片未覆盖，仍需额外挑选"
"必买","防水材料","1 批","中性玻璃胶 + 防水脂","中性 玻璃胶 防水脂","10","20","舱盖、舵杆、轴口密封","是：初始图片未覆盖，仍需额外挑选"
"必买","胶粘材料","1 批","AB 胶 + 热熔胶棒","AB胶 热熔胶棒","10","20","船体装配和临时固定","条件否：初始图片已有 AB 胶，热熔胶棒仍需补"
"必买","五金件","1 批","M2/M3 螺丝、铜柱、球头、拉杆","M2 M3 螺丝 铜柱 球头 拉杆","10","25","小船装配常用损耗件","是：初始图片未覆盖，仍需额外挑选"
"可选","成品稳定升级发射端","1","RadioMaster Pocket ELRS 2.4G","RadioMaster Pocket ELRS 2.4G","430","520","预算放宽后，直接替代 DIY 发射端","是：初始图片未覆盖，仍需额外挑选"
"可选","成品稳定升级接收端","1","RadioMaster RP1 V2","RadioMaster RP1 V2 ELRS 接收机","90","140","与当前仓库 CRSF 路线最匹配","是：初始图片未覆盖，仍需额外挑选"
"可选","更稳的升级接收机","1","Happymodel EP1 Dual / 同级真分集","EP1 Dual ELRS 接收机","120","180","更在意复杂环境链路余量时再上","是：初始图片未覆盖，仍需额外挑选"
"可选","舵机测试器","1","旋钮式舵机测试器","舵机 测试器 旋钮","4","10","调机构很省事","否：初始图片已有舵机测试器"
"可选","USB 转串口","1","CH340/CP2102","USB TTL CH340","6","15","调 UART / 预算无线链路 很方便","是：初始图片未覆盖，仍需额外挑选"
"可选","万用表","1","数字万用表","数字万用表","20","50","查掉压、查接触问题","是：初始图片未覆盖，仍需额外挑选"
"可选","舵机防水件","1~2","9g 舵机防水盒/防水套","9g 舵机 防水盒","10","30","提高户外可靠性","是：初始图片未覆盖，仍需额外挑选"
"可选","电压报警","1","2S 电压报警器","2S 锂电 电压报警","5","12","调试期很有用","是：初始图片未覆盖，仍需额外挑选"
"不建议","成品 ELRS 手台","0","RadioMaster Pocket ELRS 2.4G","RadioMaster Pocket ELRS 2.4G","0","0","当前不是 800 元内整船方案的第一单","否：只是路线调整，不是产品本身有问题"
"不建议","原型无线模块","0","NRF24L01+","NRF24L01+ PA LNA 模块","0","0","更适合低成本原型或短中距离实验，不作为当前默认主链路","否：讨论过可用于原型，但当前方案不默认采购"
"不建议","无线模块","0","E32-900M20S","E32-900M20S","0","0","当前预算默认方案更建议直接用 UART 透明模块 E220","否：初始图片已有 E32；当前方案不作为默认购买件"
"不建议","大舵机","0","MG996R","MG996R 舵机","0","0","太重、体积大、电流大, 对这条小船默认方案不划算","否：初始图片已有 MG996 类套件；当前方案明确不建议购买"
"不建议","主电方案","0","单节 18650 3.7V","18650 3.7V","0","0","不建议做全船主电","否：初始图片已有单节 18650；当前方案明确不建议购买"
"不建议","主推进组合","0","130 马达 + 49mm 六叶桨","130 电机 六叶桨","0","0","小马达拉大桨, 效率和电流都不漂亮","否：初始图片已有 130 马达/49mm 六叶桨；当前方案明确不建议购买"
"不建议","大喷水嘴","0","95mm 吸水炮","95mm 吸水炮","0","0","对 1/30 小船偏大","否：初始图片商品页包含 95mm；当前方案明确不建议选择"



